회사명,corp_eng_name,종목코드
힘스,"HIMS CO., LTD.",238490
히든챔피언제1호기업인수목적,HiddenChampion 1st Special Purpose Acquisition Company,123160
희훈디앤지,HEEHOON DESIGN & GLOBAL.CO.LTD,019640
희림,Heerim Architects & Planners,037440
흥아해운,"HEUNG-A SHIPPING CO.,LTD.",003280
흥국화재,"Heungkuk Fire & Marine Insurance Co., Ltd.",000540
흥국에프엔비,"HYUNGKUK F&B Co.,Ltd",189980
흥국,"HEUNGKUK METALTECH CO.,LTD.",010240
흥구석유,HeunguOil,024060
휴코드홀딩스,"Hucord Co., Ltd.",036840
휴젤,"Hugel, Inc.",145020
휴온스글로벌,"Huons Global Co., Ltd.",084110
휴온스,"HUONS CO., LTD.",243070
휴엠앤씨,"HuM&C Co., Ltd.",263920
휴스틸,"HUSTEEL CO.,LTD",005010
휴스토리,"Hustory Co., Ltd.",046400
휴비츠,"Huvitz Co., Ltd.",065510
휴비스,HUVIS CORPORATION,079980
휴메딕스,"Humedix Co., Ltd.",200670
휴먼텍코리아,HUMAN & TECHNOLOGIES CORPORATION,066060
휴먼테크놀로지,"HUMAN TECHNOLOGY Co., Ltd",175140
휴맥스홀딩스,"Humax Holdings Co., Ltd",028080
휴맥스,"HUMAX CO., LTD.",115160
휴마시스,"HUMASIS CO., LTD.",205470
휴림에이텍,"HYULIM A-TECH Co., Ltd.",078590
휴림로봇,"Hyulim ROBOT Co.,Ltd.",090710
휴리프,"HULIF CO.,LTD",006210
휴럼,"Hurum Co., Ltd.",353190
휴럼,"Hurum Co., Ltd.",284420
휴닉스,HUNIX INC.,009790
휴니드테크놀러지스,HUNEED TECHNOLOGIES,005870
휴네시온,"Hunesion co.,ltd",290270
휘튼,"FITTON Co., Ltd",066480
훈영,"Hoonyoung CO.,LTD.",017170
후야인포넷,"HOOYA INFONET CO., LTD.",032050
후성,"FOOSUNG CO.,LTD",093370
효성화학,Hyosung Chemical Corporation,298000
효성티앤씨,Hyosung TNC Corporation,298020
효성중공업,Hyosung Heavy Industries Corporation,298040
효성오앤비,"HyosungONBCo.,Ltd",097870
효성 ITX,"HYOSUNG ITX.CO.,LTD",094280
효성,HYOSUNG CORPORATION,004800
황금에스티,"Hwang Kum Steel & Technology Co., Ltd",032560
환인제약,"WHANIN PHARM CO.,LTD",016580
화천기공,"HWACHEON MACHINE TOOL CO.,LTD",000850
화천기계,"HWACHEON MACHINERY CO.,LTD",010660
화일약품,"HWAIL PHARM. CO., LTD",061250
화인자산관리,Fine Asset Management Corporation,010460
화인써키트,"Finecircuit CO.,LTD.",127980
화인베스틸,"FINEBESTEEL CO., LTD",133820
화신테크,"HWASHIN TECH CO.,LTD",086250
화신정공,"HWASHIN PRECISION CO., LTD.",126640
화신,"HWASHIN CO.,LTD",010690
화승코퍼레이션,"Hwaseung Corporation CO., LTD ",013520
화승인더스트리,"HS INDUSTRIES CO.,LTD",006060
화승엔터프라이즈,"HWASEUNG ENTERPRISE CO.,LTD",241590
화승알앤에이,"HWASEUNG R&A CO., LTD.",378850
화성밸브,"HS VALVE CO., LTD",039610
화림모드,"HWARIMMODE CO.,LTD",045920
홈캐스트,"homecast CO., LTD.",064240
홈센타홀딩스,"Home Center Holdings Co.,Ltd",060560
호텔신라,"HOTEL SHILLA CO.,LTD",008770
호전실업,Hojeon Limited,111110
호성,"HOSUNG, INC.",035870
호반산업,"HOBAN INDUSTRIAL CO.,LTD.",004320
혜인,HAEIN CORPORATION,003010
형지엘리트,HYUNGJI ELITE INC.,093240
형지글로벌,"Hyungji Global Co., Ltd.",308100
형지I&C,HYUNGJI Innovation and Creative Company Limited,011080
협진,"Hyupjin Co., Ltd.",138360
현진소재,"HYUNJIN MATERIALS CO., LTD.",053660
현주컴퓨터,HYUNJU COMPUTER CO. LTD,038960
현우산업,"HYUNWOOINDUSTRIALCO.,LTD",092300
현대힘스,"HYUNDAI HYMS CO., LTD.",460930
현대홈쇼핑,HYUNDAI HOME SHOPPING NETWORK CORPORATION,057050
현대해상,"HYUNDAIMARINE&FIREINSURANCECO.,LTD.",001450
현대하이스코,HYUNDAI HYSCO,010520
현대퓨처넷,"Hyundai Futurenet Co., Ltd",126560
현대푸드시스템,HYUNDAI FOOD SYSTEM,114410
현대페인트,"Hyundai Paint co.,LTD",011720
현대코퍼레이션홀딩스,"HYUNDAI CORPORATION HOLDINGS Co.,Ltd.",227840
현대코퍼레이션,HYUNDAI CORPORATION,011760
현대차증권,"HYUNDAI MOTOR SECURITIES CO.,LTD.",001500
현대지에프홀딩스,"HYUNDAI G.F. HOLDINGS CO., LTD.",005440
현대제철,HYUNDAI STEEL COMPANY,004020
현대정보기술,"Hyundai Information Technology Co.,Ltd",026180
현대자동차,HYUNDAI MOTOR CO,005380
현대이지웰,"HYUNDAI EZWEL CO., LTD.",090850
현대위아,HYUNDAI WIA,011210
현대오토에버,HYUNDAI AUTOEVER CORPORATION.,307950
현대오토넷,"HYUNDAI AUTONET CO.,LTD.",042100
현대엘리베이터,"HYUNDAI ELEVATOR CO.,LTD",017800
현대에이치티,"HYUNDAI HT CO,LTD.",039010
현대에이치씨엔동작방송,"HCN DONGFAK Sysems Co., Ltd",034750
현대에이블기업인수목적1호,Hyundai Able 1st Special Purpose Acquisition Company,204760
현대에버다임,HYUNDAI EVERDIGM Corp.,041440
현대약품,"HYUNDAI PHARMACEUTICAL CO., LTD",004310
현대사료,HYUNDAI FEED Inc.,016790
현대비앤지스틸,"HYUNDAI BNG STEEL CO., LTD",004560
현대백화점,"HYUNDAI DEPARTMENT STORE CO.,LTD",069960
현대바이오랜드,"HYUNDAI BIOLAND Co.,Ltd.",052260
현대바이오,"HYUNDAI BIOSCIENCE CO., LTD.",048410
현대무벡스,"HYUNDAI MOVEX Co., Ltd.",319400
현대모비스,"HYUNDAI MOBIS CO.,LTD",012330
현대멀티캡,"Hyundai MultiCAV Co.,Ltd",035910
현대리바트,HYUNDAI LIVART FURNITURE COMPANY LIMITED,079430
