회사명,corp_eng_name,종목코드,is_defaulted
힘스,"HIMS CO., LTD.",238490,1
히든챔피언제1호기업인수목적,HiddenChampion 1st Special Purpose Acquisition Company,123160,0
희훈디앤지,HEEHOON DESIGN & GLOBAL.CO.LTD,019640,0
희림,Heerim Architects & Planners,037440,0
흥아해운,"HEUNG-A SHIPPING CO.,LTD.",003280,0
흥국화재,"Heungkuk Fire & Marine Insurance Co., Ltd.",000540,0
흥국에프엔비,"HYUNGKUK F&B Co.,Ltd",189980,0
흥국,"HEUNGKUK METALTECH CO.,LTD.",010240,0
흥구석유,HeunguOil,024060,0
휴코드홀딩스,"Hucord Co., Ltd.",036840,0
휴젤,"Hugel, Inc.",145020,0
휴온스글로벌,"Huons Global Co., Ltd.",084110,0
휴온스,"HUONS CO., LTD.",243070,0
휴엠앤씨,"HuM&C Co., Ltd.",263920,0
휴스틸,"HUSTEEL CO.,LTD",005010,0
휴스토리,"Hustory Co., Ltd.",046400,0
휴비츠,"Huvitz Co., Ltd.",065510,0
휴비스,HUVIS CORPORATION,079980,0
휴메딕스,"Humedix Co., Ltd.",200670,0
휴먼텍코리아,HUMAN & TECHNOLOGIES CORPORATION,066060,0
휴먼테크놀로지,"HUMAN TECHNOLOGY Co., Ltd",175140,0
휴맥스홀딩스,"Humax Holdings Co., Ltd",028080,0
휴맥스,"HUMAX CO., LTD.",115160,0
휴마시스,"HUMASIS CO., LTD.",205470,0
휴림에이텍,"HYULIM A-TECH Co., Ltd.",078590,0
휴림로봇,"Hyulim ROBOT Co.,Ltd.",090710,0
휴리프,"HULIF CO.,LTD",006210,0
휴럼,"Hurum Co., Ltd.",353190,0
휴럼,"Hurum Co., Ltd.",284420,0
휴닉스,HUNIX INC.,009790,0
휴니드테크놀러지스,HUNEED TECHNOLOGIES,005870,0
휴네시온,"Hunesion co.,ltd",290270,0
휘튼,"FITTON Co., Ltd",066480,0
훈영,"Hoonyoung CO.,LTD.",017170,0
후야인포넷,"HOOYA INFONET CO., LTD.",032050,0
후성,"FOOSUNG CO.,LTD",093370,0
효성화학,Hyosung Chemical Corporation,298000,0
효성티앤씨,Hyosung TNC Corporation,298020,0
효성중공업,Hyosung Heavy Industries Corporation,298040,0
효성오앤비,"HyosungONBCo.,Ltd",097870,0
효성 ITX,"HYOSUNG ITX.CO.,LTD",094280,0
효성,HYOSUNG CORPORATION,004800,0
황금에스티,"Hwang Kum Steel & Technology Co., Ltd",032560,0
환인제약,"WHANIN PHARM CO.,LTD",016580,0
화천기공,"HWACHEON MACHINE TOOL CO.,LTD",000850,0
화천기계,"HWACHEON MACHINERY CO.,LTD",010660,0
화일약품,"HWAIL PHARM. CO., LTD",061250,0
화인자산관리,Fine Asset Management Corporation,010460,0
화인써키트,"Finecircuit CO.,LTD.",127980,0
화인베스틸,"FINEBESTEEL CO., LTD",133820,0
화신테크,"HWASHIN TECH CO.,LTD",086250,0
화신정공,"HWASHIN PRECISION CO., LTD.",126640,0
화신,"HWASHIN CO.,LTD",010690,0
